eu_rank,ime_uni,mesto,drzava,svetovni_rank,drzavni_rank,uni_url,velikost,selektivnost,leto_ustanovitve,cena_solanja,zgornja_meja_cene
176,Charité - Universitätsmedizin Berlin,Berlin,Germany,431,41,https://www.unirank.org/de/uni/charite---universitatsmedizin-berlin/,medium-sized,not available,1710,Not reported,Not reported
177,University of Essex,Colchester,United Kingdom,433,38,https://www.unirank.org/gb/uni/university-of-essex/,large-sized,not reported,1964,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
178,Universidad de Málaga,Málaga,Spain,435,16,https://www.unirank.org/es/uni/universidad-de-malaga/,very large-sized,not reported,1972,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
179,Tartu Ülikool,Tartu,Estonia,436,1,https://www.unirank.org/ee/uni/tartu-ulikool/,medium-sized,not reported,1632,"2,500-4,999 US$ (2,280-4,555 Euro)","4,999 US$"
180,Technische Universität Chemnitz,Chemnitz,Germany,438,42,https://www.unirank.org/de/uni/technische-universitat-chemnitz/,large-sized,not available,1836,0-999 US$ (0-910 Euro),999 US$
181,Universidad Carlos III de Madrid,Getafe,Spain,439,17,https://www.unirank.org/es/uni/universidad-carlos-iii-de-madrid/,large-sized,not reported,1989,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
182,St. Petersburg State University,Saint Petersburg,Russia,447,3,https://www.unirank.org/ru/uni/st-petersburg-state-university/,large-sized,not reported,1724,Not reported,Not reported
183,Université Paris-Saclay,Saint-Aubin,France,449,11,https://www.unirank.org/fr/uni/universite-paris-saclay/,very large-sized,not reported,2014,0-999 US$ (0-910 Euro),999 US$
184,École Normale Supérieure de Lyon,Lyon,France,450,12,https://www.unirank.org/fr/uni/ecole-normale-superieure-de-lyon/,small-sized,not reported,1987,0-999 US$ (0-910 Euro),999 US$
185,Justus-Liebig-Universität Giessen,Giessen,Germany,453,43,https://www.unirank.org/de/uni/justus-liebig-universitat-giessen/,large-sized,not reported,1607,0-999 US$ (0-910 Euro),999 US$
186,Technische Universität Graz,Graz,Austria,454,4,https://www.unirank.org/at/uni/technische-universitat-graz/,medium-sized,not available,1874,0-999 US$ (0-910 Euro),999 US$
187,Aalborg Universitet,Aalborg,Denmark,456,4,https://www.unirank.org/dk/uni/aalborg-universitet/,large-sized,not reported,1974,0-999 US$ (0-910 Euro),999 US$
188,Budapesti Műszaki és Gazdaságtudományi Egyetem,Budapest,Hungary,457,2,https://www.unirank.org/hu/uni/budapesti-muszaki-es-gazdasagtudomanyi-egyetem/,large-sized,not reported,1782,0-999 US$ (0-910 Euro),999 US$
189,Université de Montpellier,Montpellier,France,458,13,https://www.unirank.org/fr/uni/universite-de-montpellier/,very large-sized,not reported,1289,0-999 US$ (0-910 Euro),999 US$
190,Universidad de Salamanca,Salamanca,Spain,460,18,https://www.unirank.org/es/uni/universidad-de-salamanca/,large-sized,not reported,1218,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
191,Jyväskylän yliopisto,Jyväskylä,Finland,461,4,https://www.unirank.org/fi/uni/jyvaskylan-yliopisto/,large-sized,not reported,1934,0-999 US$ (0-910 Euro),999 US$
192,Universität Graz,Graz,Austria,466,5,https://www.unirank.org/at/uni/universitat-graz/,large-sized,least selective,1585,0-999 US$ (0-910 Euro),999 US$
193,Heriot-Watt University,Edinburgh,United Kingdom,470,39,https://www.unirank.org/gb/uni/heriot-watt-university/,medium-sized,not reported,1966,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
194,České vysoké učení technické v Praze,Prague,Czech Republic,474,3,https://www.unirank.org/cz/uni/ceske-vysoke-uceni-technicke-v-praze/,large-sized,moderately selective,1707,Not reported,Not reported
195,Turun yliopisto,Turku,Finland,475,5,https://www.unirank.org/fi/uni/turun-yliopisto/,large-sized,extremely selective,1920,0-999 US$ (0-910 Euro),999 US$
196,Universität Konstanz,Konstanz,Germany,476,44,https://www.unirank.org/de/uni/universitat-konstanz/,small-sized,not reported,1966,0-999 US$ (0-910 Euro),999 US$
197,Institut d'Études Politiques de Paris,Paris,France,477,14,https://www.unirank.org/fr/uni/institut-d-etudes-politiques-de-paris/,medium-sized,extremely selective,1872,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
198,Universität des Saarlandes,Saarbrücken,Germany,482,45,https://www.unirank.org/de/uni/universitat-des-saarlandes/,large-sized,very selective,1948,0-999 US$ (0-910 Euro),999 US$
199,Università degli Studi di Trento,Trento,Italy,484,11,https://www.unirank.org/it/uni/universita-degli-studi-di-trento/,large-sized,averagely selective,1962,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
200,Syddansk Universitet,Odense,Denmark,486,5,https://www.unirank.org/dk/uni/syddansk-universitet/,large-sized,very selective,1966,0-999 US$ (0-910 Euro),999 US$
